diretorio,modelo,preditor,n,sim_ticks,sim_insts,ipc,lookups_total,cond_incorrect,direct_cond,squashed_issued,squashed_examined,decode_squashed,clk_ticks,l1d_misses,l1d_miss_rate,miss_rate,clk_ghz
outorder_BiModeBP_n256,outorder,BiModeBP,256,265676000.0,749327.0,2.820444,284789.0,7121.0,202393.0,1181.0,168351.0,3691.0,1000.0,2888.0,0.010813,3.5184,1.0
outorder_BiModeBP_n256,outorder,BiModeBP,256,83798000.0,743982.0,2.219563,284017.0,7192.0,202207.0,1129.0,168881.0,3649.0,250.0,4587.0,0.017313,3.5568,4.0
outorder_BiModeBP_n256,outorder,BiModeBP,256,103586310.0,747971.0,2.404503,284272.0,7160.0,202321.0,1206.0,167193.0,3694.0,333.0,3620.0,0.01357,3.5389,3.0
outorder_BiModeBP_n512,outorder,BiModeBP,512,496639000.0,1401227.0,2.821414,566160.0,15244.0,398675.0,2227.0,350564.0,5375.0,1000.0,2911.0,0.005542,3.8237,1.0
outorder_BiModeBP_n512,outorder,BiModeBP,512,139243250.0,1390865.0,2.497181,550875.0,14379.0,390848.0,2075.0,336245.0,5345.0,250.0,4610.0,0.008896,3.6789,4.0
outorder_BiModeBP_n512,outorder,BiModeBP,512,174137688.0,1376169.0,2.631615,543161.0,13997.0,384964.0,1777.0,328826.0,5379.0,333.0,3631.0,0.007107,3.6359,3.0
outorder_BiModeBP_n1024,outorder,BiModeBP,1024,967726000.0,2708048.0,2.798359,1144643.0,30881.0,797919.0,4400.0,755644.0,8787.0,1000.0,4507.0,0.00432,3.8702,1.0
outorder_BiModeBP_n1024,outorder,BiModeBP,1024,256507250.0,2699805.0,2.631312,1140357.0,29719.0,792988.0,4268.0,755145.0,8754.0,250.0,6106.0,0.005899,3.7477,4.0
outorder_BiModeBP_n1024,outorder,BiModeBP,1024,333642690.0,2690805.0,2.685619,1134958.0,30345.0,792061.0,4296.0,743867.0,8766.0,333.0,5187.0,0.005017,3.8311,3.0
outorder_BiModeBP_n2048,outorder,BiModeBP,2048,2030589000.0,5388066.0,2.653449,2463777.0,65532.0,1682143.0,9589.0,1812850.0,15546.0,1000.0,17331.0,0.008176,3.8957,1.0
outorder_BiModeBP_n2048,outorder,BiModeBP,2048,526101250.0,5358740.0,2.546438,2454579.0,66186.0,1680006.0,9102.0,1810555.0,15556.0,250.0,18992.0,0.009004,3.9396,4.0
outorder_BiModeBP_n2048,outorder,BiModeBP,2048,694327644.0,5368202.0,2.574592,2457660.0,66848.0,1683734.0,9151.0,1798315.0,15554.0,333.0,17630.0,0.008342,3.9702,3.0
outorder_BiModeBP_n4096,outorder,BiModeBP,4096,4279079000.0,10779704.0,2.519164,5308366.0,142198.0,3586226.0,19277.0,4206598.0,29141.0,1000.0,52314.0,0.012178,3.9651,1.0
outorder_BiModeBP_n4096,outorder,BiModeBP,4096,1093096000.0,10778852.0,2.465211,5303157.0,144036.0,3592903.0,18864.0,4176845.0,29128.0,250.0,54257.0,0.012597,4.0089,4.0
outorder_BiModeBP_n4096,outorder,BiModeBP,4096,1412223696.0,10615538.0,2.503126,5161450.0,139109.0,3518981.0,17930.0,4064197.0,29167.0,333.0,53591.0,0.012668,3.9531,3.0
outorder_BiModeBP_n8192,outorder,BiModeBP,8192,9182399000.0,21766293.0,2.370436,11441941.0,303179.0,7667300.0,41739.0,9517959.0,56278.0,1000.0,148125.0,0.016879,3.9542,1.0
